icon,hits
pen-tool,3079
circle-arrow-left,3073
bookmark-x,3071
handbag,3068
line-squiggle,3067
hand-helping,3060
notepad-text-dashed,3059
calendar-x-2,3050
calendar-fold,3043
panels-top-left,3038
file-badge,3035
infinity,3032
piano,3029
sofa,3027
egg-off,3026
layout-panel-top,3017
file-box,3016
square-dashed-top-solid,3014
decimals-arrow-right,3012
lock-keyhole,3010
tower-control,3007
smartphone-charging,3001
calendar-range,3000
id-card-lanyard,2998
decimals-arrow-left,2997
cone,2995
speaker,2991
panel-bottom-dashed,2988
signal,2986
wallet-cards,2984
ev-charger,2981
minimize-2,2980
microchip,2976
panel-left-dashed,2970
case-lower,2970
cup-soda,2957
door-closed,2955
rows-2,2954
file-play,2951
case-upper,2951
mountain-snow,2941
folder-open-dot,2941
signal-zero,2933
washing-machine,2932
mailbox,2929
coins,2925
mail-warning,2920
panel-left-right-dashed,2919
minus-circle,2918
bookmark-minus,2918
square-chevron-up,2913
cooking-pot,2912
rows-4,2912
medal,2909
sidebar,2904
variable,2904
signal-high,2903
message-square-diff,2898
split,2898
fence,2887
equal-not,2886
map-pin-check-inside,2882
panel-right-dashed,2879
copy-minus,2874
circle-play,2872
git-merge,2870
square-play,2867
folder-plus,2854
hard-drive-download,2853
sparkle,2835
spray-can,2834
mails,2834
search-x,2821
printer-check,2821
search-slash,2817
glasses,2807
refrigerator,2807
mail-plus,2805
map-pin-off,2805
folder-sync,2805
heart-off,2804
mail-question-mark,2798
flag-triangle-right,2794
refresh-cw-off,2794
panel-top-dashed,2794
test-tube-diagonal,2791
moon-star,2788
flashlight,2782
link-2-off,2773
warehouse,2773
clock-3,2771
inspection-panel,2766
file-search-corner,2765
torus,2763
cloud-check,2762
piggy-bank,2760
door-closed-locked,2759
message-square-quote,2759
message-circle-x,2757
file-heart,2757
qr-code,2753
rotate-3d,2753
test-tube,2753
signal-low,2750
truck-electric,2747
list-start,2745
unlock,2743
clock-2,2741
tent-tree,2741
house-plug,2739
signal-medium,2737
map-pin-plus-inside,2735
radio-tower,2734
flag-triangle-left,2727
chess-pawn,2726
wand,2722
file-exclamation-point,2722
chess-rook,2721
rectangle-horizontal,2721
monitor-down,2720
cloud-upload,2715
club,2712
paint-roller,2711
map-minus,2709
message-circle-code,2700
trending-up-down,2699
motorbike,2698
plane-landing,2697
file-code-corner,2695
git-commit-horizontal,2694
pen,2692
headphone-off,2691
file-lock,2691
git-branch-plus,2682
code-xml,2680
banana,2680
search-alert,2679
user-pen,2679
vibrate-off,2678
map-pin-check,2671
map-pin-minus-inside,2666
car-taxi-front,2664
receipt-cent,2658
copy-x,2657
heater,2654
milestone,2649
clock-10,2647
clock-4,2642
user-round-search,2635
file-pen-line,2634
file-minus,2629
circuit-board,2623
voicemail,2621
fan,2616
divide,2615
mouse-pointer-ban,2614
square-percent,2612
zap-off,2604
train-front-tunnel,2602
folder-git,2599
shower-head,2598
circle-arrow-out-up-right,2597
search-code,2594
check-line,2593
eye-closed,2590
music-3,2588
university,2587
git-pull-request,2586
map-pin-x-inside,2586
git-commit-vertical,2584
cloudy,2583
worm,2582
vote,2577
mic-vocal,2576
file-check-corner,2575
file-plus-corner,2566
message-square-code,2562
rotate-ccw-square,2561
sunrise,2558
scale-3d,2558
message-square-plus,2555
fish,2550
message-square-x,2549
square-terminal,2543
folder-tree,2542
folder-git-2,2538
lamp-wall-up,2536
octagon-minus,2532
square-dashed-mouse-pointer,2529
ticket-minus,2527
calendar-x,2526
hard-hat,2525
hard-drive-upload,2524
receipt-indian-rupee,2524
layout-panel-left,2523
nut-off,2522
circle-small,2521
tree-palm,2516
list-check,2516
circle-pause,2515
siren,2514
circle-user-round,2512
type-outline,2511
laptop-minimal,2510
clock-11,2508
trello,2500
lollipop,2499
fast-forward,2498
tags,2496
circle-chevron-up,2492
utility-pole,2490
scan-heart,2487
screen-share-off,2481
scissors-line-dashed,2481
panel-right-open,2478
signpost-big,2478
cigarette,2477
fish-symbol,2474
theater,2473
map-pin-minus,2471
git-fork,2469
milk,2468
folder-down,2462
map-pin-plus,2459
square-check-big,2458
