# Icon Usage Report
# Corpus: /home/jack/dev/qualia/services/**/*.html
# Files scanned: 4577
# Total <i class="...icon"> hits: 6156
# Unique icon names: 477 (540 raw, 63 non-icon CSS classes removed)
# Dynamic (template-only, unresolvable): 249
#
# count | files | icon name
# ------+-------+----------
      1 |     1 | shopping cart
      1 |     1 | home gavel
      1 |     1 | history mark
      1 |     1 | dollar sign
      1 |     1 | lock circle1
      1 |     1 | address book
      1 |     1 | clipboard
      1 |     1 | minus circle
      1 |     1 | profile info
      1 |     1 | unmute
      1 |     1 | firefox
      1 |     1 | safari
      1 |     1 | internet explorer
      1 |     1 | verified user circle
      1 |     1 | zoom out
      1 |     1 | zoom in
      1 |     1 | x delete
      1 |     1 | chrome
      1 |     1 | triangle exclamation
      1 |     1 | envelope open alternate
      1 |     1 | policy lender
      1 |     1 | home info lender
      1 |     1 | home like lender
      1 |     1 | help info circle
      1 |     1 | document check lender
      1 |     1 | refinance lender
      1 |     1 | tasks lender
      1 |     1 | checkmark lender
      1 |     1 | organization lender
      1 |     1 | reports lender
      1 |     1 | profile lender
      1 |     1 | archive lender
      1 |     1 | trophy
      1 |     1 | loan lender
      1 |     1 | agent1 lender
      1 |     1 | probate lender
      1 |     1 | envelope lender
      1 |     1 | arrow left
      1 |     1 | cancel circle
      1 |     1 | add user header
      1 |     1 | ticket
      1 |     1 | square
      1 |     1 | code file
      1 |     1 | circle check
      1 |     1 | check mark circle
      1 |     1 | file alternate
      1 |     1 | phone circle
      1 |     1 | divider right chevron
      1 |     1 | chart
      1 |     1 | jsfiddle square
      1 |     1 | contacts
      1 |     1 | money like
      1 |     1 | safe user
      1 |     1 | home menu
